x,y,z,vx,vy,vz
0.285,-0.395,0.02,0.04,0.04,0.01
0.29,-0.395,0.02,0.04,0.04,0.01
0.295,-0.395,0.02,0.04,0.04,0.01
0.3,-0.395,0.02,0.04,0.04,0.01
0.305,-0.395,0.02,0.04,0.04,0.01
0.31,-0.395,0.02,0.04,0.04,0.01
0.315,-0.395,0.02,0.04,0.04,0.01
0.32,-0.395,0.02,0.04,0.04,0.01
0.325,-0.395,0.02,0.04,0.04,0.01
0.33,-0.395,0.02,0.04,0.04,0.01
0.335,-0.395,0.02,0.04,0.04,0.01
0.34,-0.395,0.02,0.04,0.04,0.01
0.345,-0.395,0.02,0.04,0.04,0.01
0.35,-0.395,0.02,0.04,0.04,0.01
0.355,-0.395,0.02,0.04,0.04,0.01
0.36,-0.395,0.02,0.04,0.04,0.01
0.365,-0.395,0.02,0.04,0.04,0.01
0.37,-0.395,0.02,0.04,0.04,0.01
0.375,-0.395,0.02,0.04,0.04,0.01
0.38,-0.395,0.02,0.04,0.04,0.01
0.385,-0.395,0.02,0.04,0.04,0.01
0.39,-0.395,0.02,0.04,0.04,0.01
0.395,-0.395,0.02,0.04,0.04,0.01
0.4,-0.395,0.02,0.04,0.04,0.01
0.405,-0.395,0.02,0.04,0.04,0.01
0.41,-0.395,0.02,0.04,0.04,0.01
0.415,-0.395,0.02,0.04,0.04,0.01
0.42,-0.395,0.02,0.04,0.04,0.01
0.425,-0.395,0.02,0.04,0.04,0.01
0.43,-0.395,0.02,0.04,0.04,0.01
0.435,-0.395,0.02,0.04,0.04,0.01
0.44,-0.395,0.02,0.04,0.04,0.01
0.445,-0.395,0.02,0.04,0.04,0.01
0.45,-0.395,0.02,0.04,0.04,0.01
0.455,-0.395,0.02,0.04,0.01,0.04
0.46,-0.395,0.02,0.02,0.01,0.04
0.465,-0.395,0.02,0.01,0.01,0.04
0.47,-0.395,0.02,-0.01,0.01,0.04
0.475,-0.395,0.02,-0.03,0.01,0.04
0.48,-0.395,0.02,-0.04,0.01,0.04
0.485,-0.395,0.02,-0.05,0.01,0.04
0.49,-0.395,0.02,-0.05,0.01,0.04
0.495,-0.395,0.02,-0.05,0.01,0.04
0.5,-0.395,0.02,-0.05,0.01,0.04
0.505,-0.395,0.02,-0.05,0.01,0.04
0.51,-0.395,0.02,-0.05,0.01,0.04
0.515,-0.395,0.02,-0.05,0.01,0.04
0.52,-0.395,0.02,-0.05,0.01,0.04
0.525,-0.395,0.02,-0.05,0.01,0.04
0.53,-0.395,0.02,-0.05,0.04,0.01
0.535,-0.395,0.02,-0.05,0.04,0.01
0.54,-0.395,0.02,-0.05,0.04,0.01
0.545,-0.395,0.02,-0.05,0.04,0.01
0.55,-0.395,0.02,-0.05,0.04,0.01
0.555,-0.395,0.02,-0.05,0.04,0.01
0.285,-0.39,0.02,0.04,0.04,0.01
0.29,-0.39,0.02,0.04,0.04,0.01
0.295,-0.39,0.02,0.04,0.04,0.01
0.3,-0.39,0.02,0.04,0.04,0.01
0.305,-0.39,0.02,0.04,0.04,0.01
0.31,-0.39,0.02,0.04,0.04,0.01
0.315,-0.39,0.02,0.04,0.04,0.01
0.32,-0.39,0.02,0.04,0.04,0.01
0.325,-0.39,0.02,0.04,0.04,0.01
0.33,-0.39,0.02,0.04,0.04,0.01
0.335,-0.39,0.02,0.04,0.04,0.01
0.34,-0.39,0.02,0.04,0.04,0.01
0.345,-0.39,0.02,0.04,0.04,0.01
0.35,-0.39,0.02,0.04,0.04,0.01
0.355,-0.39,0.02,0.04,0.04,0.01
0.36,-0.39,0.02,0.04,0.04,0.01
0.365,-0.39,0.02,0.04,0.04,0.01
0.37,-0.39,0.02,0.04,0.04,0.01
0.375,-0.39,0.02,0.04,0.04,0.01
0.38,-0.39,0.02,0.04,0.04,0.01
0.385,-0.39,0.02,0.04,0.04,0.01
0.39,-0.39,0.02,0.04,0.04,0.01
0.395,-0.39,0.02,0.04,0.04,0.01
0.4,-0.39,0.02,0.04,0.04,0.01
0.405,-0.39,0.02,0.04,0.04,0.01
0.41,-0.39,0.02,0.04,0.04,0.01
0.415,-0.39,0.02,0.04,0.04,0.01
0.42,-0.39,0.02,0.04,0.04,0.01
0.425,-0.39,0.02,0.04,0.04,0.01
0.43,-0.39,0.02,0.04,0.04,0.01
0.435,-0.39,0.02,0.04,0.04,0.01
0.44,-0.39,0.02,0.04,0.04,0.01
0.445,-0.39,0.02,0.04,0.02,0.01
0.45,-0.39,0.02,0.04,0.02,0.01
0.455,-0.39,0.02,0.04,-0.01,0.04
0.46,-0.39,0.02,0.02,-0.01,0.04
0.465,-0.39,0.02,0.01,-0.01,0.04
0.47,-0.39,0.02,-0.01,-0.01,0.04
0.475,-0.39,0.02,-0.03,-0.01,0.04
0.48,-0.39,0.02,-0.04,-0.01,0.04
0.485,-0.39,0.02,-0.05,-0.01,0.04
0.49,-0.39,0.02,-0.05,-0.01,0.04
0.495,-0.39,0.02,-0.05,-0.01,0.04
0.5,-0.39,0.02,-0.05,-0.01,0.04
0.505,-0.39,0.02,-0.05,-0.01,0.04
0.51,-0.39,0.02,-0.05,-0.01,0.04
0.515,-0.39,0.02,-0.05,-0.01,0.04
0.52,-0.39,0.02,-0.05,-0.01,0.04
0.525,-0.39,0.02,-0.05,-0.01,0.04
0.53,-0.39,0.02,-0.05,0.02,0.01
0.535,-0.39,0.02,-0.05,0.02,0.01
0.54,-0.39,0.02,-0.05,0.04,0.01
0.545,-0.39,0.02,-0.05,0.04,0.01
0.55,-0.39,0.02,-0.05,0.04,0.01
0.555,-0.39,0.02,-0.05,0.04,0.01
0.285,-0.385,0.02,0.04,0.04,0.01
0.29,-0.385,0.02,0.04,0.04,0.01
0.295,-0.385,0.02,0.04,0.04,0.01
0.3,-0.385,0.02,0.04,0.04,0.01
0.305,-0.385,0.02,0.04,0.04,0.01
0.31,-0.385,0.02,0.04,0.04,0.01
0.315,-0.385,0.02,0.04,0.04,0.01
0.32,-0.385,0.02,0.04,0.04,0.01
0.325,-0.385,0.02,0.04,0.04,0.01
0.33,-0.385,0.02,0.04,0.04,0.01
0.335,-0.385,0.02,0.04,0.04,0.01
0.34,-0.385,0.02,0.04,0.04,0.01
0.345,-0.385,0.02,0.04,0.04,0.01
0.35,-0.385,0.02,0.04,0.04,0.01
0.355,-0.385,0.02,0.04,0.04,0.01
0.36,-0.385,0.02,0.04,0.04,0.01
0.365,-0.385,0.02,0.04,0.04,0.01
0.37,-0.385,0.02,0.04,0.04,0.01
0.375,-0.385,0.02,0.04,0.04,0.01
0.38,-0.385,0.02,0.04,0.04,0.01
0.385,-0.385,0.02,0.04,0.04,0.01
0.39,-0.385,0.02,0.04,0.04,0.01
0.395,-0.385,0.02,0.04,0.04,0.01
0.4,-0.385,0.02,0.04,0.04,0.01
0.405,-0.385,0.02,0.04,0.04,0.01
0.41,-0.385,0.02,0.04,0.04,0.01
0.415,-0.385,0.02,0.04,0.04,0.01
0.42,-0.385,0.02,0.04,0.04,0.01
0.425,-0.385,0.02,0.04,0.04,0.01
0.43,-0.385,0.02,0.04,0.04,0.01
0.435,-0.385,0.02,0.04,0.04,0.01
0.44,-0.385,0.02,0.04,0.04,0.01
0.445,-0.385,0.02,0.04,0.01,0.01
0.45,-0.385,0.02,0.04,0.01,0.01
0.455,-0.385,0.02,0.04,-0.03,0.04
0.46,-0.385,0.02,0.02,-0.03,0.04
0.465,-0.385,0.02,0.01,-0.03,0.04
0.47,-0.385,0.02,-0.01,-0.03,0.04
0.475,-0.385,0.02,-0.03,-0.03,0.04
0.48,-0.385,0.02,-0.04,-0.03,0.04
0.485,-0.385,0.02,-0.05,-0.03,0.04
0.49,-0.385,0.02,-0.05,-0.03,0.04
0.495,-0.385,0.02,-0.05,-0.03,0.04
0.5,-0.385,0.02,-0.05,-0.03,0.04
0.505,-0.385,0.02,-0.05,-0.03,0.04
0.51,-0.385,0.02,-0.05,-0.03,0.04
0.515,-0.385,0.02,-0.05,-0.03,0.04
0.52,-0.385,0.02,-0.05,-0.03,0.04
0.525,-0.385,0.02,-0.05,-0.03,0.04
0.53,-0.385,0.02,-0.05,0.01,0.01
0.535,-0.385,0.02,-0.05,0.01,0.01
0.54,-0.385,0.02,-0.05,0.04,0.01
0.545,-0.385,0.02,-0.05,0.04,0.01
0.55,-0.385,0.02,-0.05,0.04,0.01
0.555,-0.385,0.02,-0.05,0.04,0.01
0.285,-0.38,0.02,0.04,0.04,0.01
0.29,-0.38,0.02,0.04,0.04,0.01
0.295,-0.38,0.02,0.04,0.04,0.01
0.3,-0.38,0.02,0.04,0.04,0.01
0.305,-0.38,0.02,0.04,0.04,0.01
0.31,-0.38,0.02,0.04,0.04,0.01
0.315,-0.38,0.02,0.04,0.04,0.01
0.32,-0.38,0.02,0.04,0.04,0.01
0.325,-0.38,0.02,0.04,0.04,0.01
0.33,-0.38,0.02,0.04,0.04,0.01
0.335,-0.38,0.02,0.04,0.04,0.01
0.34,-0.38,0.02,0.04,0.04,0.01
0.345,-0.38,0.02,0.04,0.04,0.01
0.35,-0.38,0.02,0.04,0.04,0.01
0.355,-0.38,0.02,0.04,0.04,0.01
0.36,-0.38,0.02,0.04,0.04,0.01
0.365,-0.38,0.02,0.04,0.04,0.01
0.37,-0.38,0.02,0.04,0.04,0.01
0.375,-0.38,0.02,0.04,0.04,0.01
0.38,-0.38,0.02,0.04,0.04,0.01
0.385,-0.38,0.02,0.04,0.04,0.01
0.39,-0.38,0.02,0.04,0.04,0.01
0.395,-0.38,0.02,0.04,0.04,0.01
0.4,-0.38,0.02,0.04,0.04,0.01
0.405,-0.38,0.02,0.04,0.04,0.01
0.41,-0.38,0.02,0.04,0.04,0.01
0.415,-0.38,0.02,0.04,0.04,0.01
0.42,-0.38,0.02,0.04,0.04,0.01
0.425,-0.38,0.02,0.04,0.04,0.01
0.43,-0.38,0.02,0.04,0.04,0.01
0.435,-0.38,0.02,0.04,0.02,0.01
0.44,-0.38,0.02,0.04,0.02,0.01
0.445,-0.38,0.02,0.04,-0.01,0.01
0.45,-0.38,0.02,0.04,-0.01,0.01
0.455,-0.38,0.02,0.04,-0.04,0.04
0.46,-0.38,0.02,0.02,-0.04,0.04
0.465,-0.38,0.02,0.01,-0.04,0.04
0.47,-0.38,0.02,-0.01,-0.04,0.04
0.475,-0.38,0.02,-0.03,-0.04,0.04
0.48,-0.38,0.02,-0.04,-0.04,0.04
0.485,-0.38,0.02,-0.05,-0.04,0.04
0.49,-0.38,0.02,-0.05,-0.04,0.04
0.495,-0.38,0.02,-0.05,-0.04,0.04
0.5,-0.38,0.02,-0.05,-0.04,0.04
0.505,-0.38,0.02,-0.05,-0.04,0.04
0.51,-0.38,0.02,-0.05,-0.04,0.04
0.515,-0.38,0.02,-0.05,-0.04,0.04
0.52,-0.38,0.02,-0.05,-0.04,0.04
0.525,-0.38,0.02,-0.05,-0.04,0.04
0.53,-0.38,0.02,-0.05,-0.01,0.01
0.535,-0.38,0.02,-0.05,-0.01,0.01
0.54,-0.38,0.02,-0.05,0.02,0.01
0.545,-0.38,0.02,-0.05,0.02,0.01
0.55,-0.38,0.02,-0.05,0.04,0.01
0.555,-0.38,0.02,-0.05,0.04,0.01
0.285,-0.375,0.02,0.04,0.04,0.01
0.29,-0.375,0.02,0.04,0.04,0.01
0.295,-0.375,0.02,0.04,0.04,0.01
0.3,-0.375,0.02,0.04,0.04,0.01
0.305,-0.375,0.02,0.04,0.04,0.01
0.31,-0.375,0.02,0.04,0.04,0.01
0.315,-0.375,0.02,0.04,0.04,0.01
0.32,-0.375,0.02,0.04,0.04,0.01
0.325,-0.375,0.02,0.04,0.04,0.01
0.33,-0.375,0.02,0.04,0.04,0.01
0.335,-0.375,0.02,0.04,0.04,0.01
0.34,-0.375,0.02,0.04,0.04,0.01
0.345,-0.375,0.02,0.04,0.04,0.01
0.35,-0.375,0.02,0.04,0.04,0.01
0.355,-0.375,0.02,0.04,0.04,0.01
0.36,-0.375,0.02,0.04,0.04,0.01
0.365,-0.375,0.02,0.04,0.04,0.01
0.37,-0.375,0.02,0.04,0.04,0.01
0.375,-0.375,0.02,0.04,0.04,0.01
0.38,-0.375,0.02,0.04,0.04,0.01
0.385,-0.375,0.02,0.04,0.04,0.01
0.39,-0.375,0.02,0.04,0.04,0.01
0.395,-0.375,0.02,0.04,0.04,0.01
0.4,-0.375,0.02,0.04,0.04,0.01
0.405,-0.375,0.02,0.04,0.04,0.01
0.41,-0.375,0.02,0.04,0.04,0.01
0.415,-0.375,0.02,0.04,0.04,0.01
0.42,-0.375,0.02,0.04,0.04,0.01
0.425,-0.375,0.02,0.04,0.04,0.01
0.43,-0.375,0.02,0.04,0.04,0.01
0.435,-0.375,0.02,0.04,0.01,0.01
0.44,-0.375,0.02,0.04,0.01,0.01
0.445,-0.375,0.02,0.04,-0.03,0.01
0.45,-0.375,0.02,0.04,-0.03,0.01
0.455,-0.375,0.02,0.04,-0.05,0.04
0.46,-0.375,0.02,0.02,-0.05,0.04
0.465,-0.375,0.02,0.01,-0.05,0.04
0.47,-0.375,0.02,-0.01,-0.05,0.04
0.475,-0.375,0.02,-0.03,-0.05,0.04
0.48,-0.375,0.02,-0.04,-0.05,0.04
0.485,-0.375,0.02,-0.05,-0.05,0.04
0.49,-0.375,0.02,-0.05,-0.05,0.04
0.495,-0.375,0.02,-0.05,-0.05,0.04
0.5,-0.375,0.02,-0.05,-0.05,0.04
0.505,-0.375,0.02,-0.05,-0.05,0.04
0.51,-0.375,0.02,-0.05,-0.05,0.04
0.515,-0.375,0.02,-0.05,-0.05,0.04
0.52,-0.375,0.02,-0.05,-0.05,0.04
0.525,-0.375,0.02,-0.05,-0.05,0.04
