x,y,z,g
0.3,0,0.48,1
0.30031267,0.00022884,0.47938594,1
0.30062481,0.00046724,0.47877188,1
0.30093644,0.00071475,0.47815782,1
0.30124758,0.00097092,0.47754375,1
0.30155823,0.00123529,0.47692969,1
0.30186843,0.00150741,0.47631563,1
0.30217819,0.00178684,0.47570157,1
0.30248751,0.00207311,0.47508751,1
0.30279643,0.00236577,0.47447345,1
0.30310495,0.00266438,0.47385939,1
0.3034131,0.00296849,0.47324532,1
0.30372089,0.00327763,0.47263126,1
0.30402833,0.00359136,0.4720172,1
0.30433544,0.00390922,0.47140314,1
0.30464225,0.00423077,0.47078908,1
0.30494876,0.00455554,0.47017502,1
0.305255,0.0048831,0.46956096,1
0.30556097,0.00521298,0.46894689,1
0.3058667,0.00554474,0.46833283,1
0.30617221,0.00587792,0.46771877,1
0.3064775,0.00621207,0.46710471,1
0.3067826,0.00654673,0.46649065,1
0.30708753,0.00688147,0.46587659,1
0.30739229,0.00721581,0.46526253,1
0.30769692,0.00754932,0.46464846,1
0.30800141,0.00788154,0.4640344,1
0.3083058,0.00821201,0.46342034,1
0.30861009,0.00854029,0.46280628,1
0.30891431,0.00886592,0.46219222,1
0.30921846,0.00918846,0.46157816,1
0.30952258,0.00950744,0.4609641,1
0.30982667,0.00982242,0.46035003,1
0.31013074,0.01013294,0.45973597,1
0.31043483,0.01043855,0.45912191,1
0.31073894,0.01073881,0.45850785,1
0.31104309,0.01103325,0.45789379,1
0.31134729,0.01132143,0.45727973,1
0.31165158,0.01160289,0.45666567,1
0.31195595,0.01187719,0.45605161,1
0.31226043,0.01214386,0.45543754,1
0.31256503,0.01240246,0.45482348,1
0.31286977,0.01265253,0.45420942,1
0.31317468,0.01289363,0.45359536,1
0.31347975,0.0131253,0.4529813,1
0.31378502,0.01334709,0.45236724,1
0.31409049,0.01355854,0.45175318,1
0.31439619,0.01375921,0.45113911,1
0.31470213,0.01394864,0.45052505,1
0.31500833,0.01412638,0.44991099,1
0.3153148,0.01429198,0.44929693,1
0.31562156,0.01444499,0.44868287,1
0.31592864,0.01458494,0.44806881,1
0.31623603,0.0147114,0.44745475,1
0.31654377,0.01482391,0.44684068,1
0.31685186,0.01492202,0.44622662,1
0.31716033,0.01500527,0.44561256,1
0.31746919,0.01507321,0.4449985,1
0.31777846,0.0151254,0.44438444,1
0.31808816,0.01516137,0.44377038,1
0.31839829,0.01518068,0.44315632,1
0.31870888,0.01518287,0.44254225,1
0.31901995,0.0151675,0.44192819,1
0.31933151,0.01513411,0.44131413,1
0.31964358,0.01508224,0.44070007,1
0.31995617,0.01501145,0.44008601,1
0.3202693,0.01492148,0.43947195,1
0.32058289,0.01481327,0.43885789,1
0.32089688,0.01468821,0.43824382,1
0.32121117,0.01454769,0.43762976,1
0.32152568,0.0143931,0.4370157,1
0.32184033,0.01422584,0.43640164,1
0.32215504,0.01404731,0.43578758,1
0.32246971,0.01385888,0.43517352,1
0.32278428,0.01366196,0.43455945,1
0.32309864,0.01345794,0.43394539,1
0.32341273,0.0132482,0.43333133,1
0.32372646,0.01303415,0.43271727,1
0.32403974,0.01281717,0.43210321,1
0.32435248,0.01259866,0.43148915,1
0.32466462,0.01238001,0.43087509,1
0.32497606,0.01216261,0.43026102,1
0.32528672,0.01194785,0.42964696,1
0.32559651,0.01173713,0.4290329,1
0.32590535,0.01153184,0.42841884,1
0.32621317,0.01133337,0.42780478,1
0.32651987,0.01114312,0.42719072,1
0.32682537,0.01096247,0.42657666,1
0.32712959,0.01079281,0.42596259,1
0.32743245,0.01063555,0.42534853,1
0.32773385,0.01049208,0.42473447,1
0.32803373,0.01036378,0.42412041,1
0.32833198,0.01025204,0.42350635,1
0.32862854,0.01015827,0.42289229,1
0.32892332,0.01008385,0.42227823,1
0.32921623,0.01003018,0.42166417,1
0.32950719,0.00999864,0.4210501,1
0.32979611,0.00999063,0.42043604,1
0.33008292,0.01000754,0.41982198,1
0.33036737,0.0100497,0.41920792,1
0.33064892,0.01011565,0.41859386,1
0.33092704,0.01020374,0.4179798,1
0.33120117,0.01031234,0.41736574,1
0.33147076,0.01043979,0.41675168,1
0.33173526,0.01058446,0.41613762,1
0.33199412,0.01074469,0.41552356,1
0.33224679,0.01091885,0.41490949,1
0.33249271,0.01110529,0.41429543,1
0.33273134,0.01130237,0.41368137,1
0.33296213,0.01150843,0.41306731,1
0.33318451,0.01172185,0.41245325,1
0.33339795,0.01194096,0.41183919,1
0.3336019,0.01216413,0.41122513,1
0.33379579,0.01238972,0.41061107,1
0.33397909,0.01261608,0.40999701,1
0.33415123,0.01284156,0.40938295,1
0.33431167,0.01306452,0.40876888,1
0.33445987,0.01328332,0.40815482,1
0.33459525,0.01349631,0.40754076,1
0.33471729,0.01370184,0.4069267,1
0.33482541,0.01389828,0.40631264,1
0.33491908,0.01408398,0.40569858,1
0.33499775,0.0142573,0.40508452,1
0.33506086,0.01441658,0.40447045,1
0.33510785,0.01456019,0.40385639,1
0.33513819,0.01468648,0.40324233,1
0.33515132,0.0147938,0.40262827,1
0.33514669,0.01488052,0.40201421,1
0.33512374,0.01494499,0.40140014,1
0.33508193,0.01498556,0.40078608,1
0.33502071,0.01500059,0.40017202,1
0.33493964,0.01498865,0.39955795,1
0.33483948,0.0149503,0.39894389,1
0.33472165,0.01488725,0.39832983,1
0.33458755,0.01480121,0.39771577,1
0.33443861,0.0146939,0.3971017,1
0.33427625,0.01456702,0.39648764,1
0.33410188,0.01442228,0.39587358,1
0.33391693,0.01426141,0.39525951,1
0.33372282,0.0140861,0.39464545,1
0.33352096,0.01389807,0.39403139,1
0.33331276,0.01369904,0.39341732,1
0.33309966,0.01349071,0.39280326,1
0.33288307,0.0132748,0.3921892,1
0.33266441,0.01305302,0.39157513,1
0.3324451,0.01282709,0.39096107,1
0.33222655,0.0125987,0.39034701,1
0.33201019,0.01236958,0.38973295,1
0.33179743,0.01214143,0.38911888,1
0.33158969,0.01191598,0.38850482,1
0.3313884,0.01169492,0.38789076,1
0.33119496,0.01147998,0.3872767,1
0.33101081,0.01127286,0.38666264,1
0.33083735,0.01107528,0.38604858,1
0.33067602,0.01088895,0.38543452,1
0.33052821,0.01071557,0.38482046,1
0.33039537,0.01055687,0.3842064,1
0.3302789,0.01041455,0.38359234,1
0.33018022,0.01029033,0.38297828,1
0.33010075,0.01018591,0.38236422,1
0.33004191,0.01010301,0.38175016,1
0.33000512,0.01004335,0.38113611,1
0.32999181,0.01000862,0.38052205,1
0.33000337,0.01000055,0.37990799,1
0.33004047,0.01001998,0.37929394,1
0.33010176,0.01006553,0.37867988,1
0.3301856,0.01013547,0.37806582,1
0.33029033,0.01022808,0.37745177,1
0.3304143,0.01034161,0.37683772,1
0.33055586,0.01047434,0.37622366,1
0.33071335,0.01062455,0.37560961,1
0.33088513,0.0107905,0.37499555,1
0.33106955,0.01097046,0.3743815,1
0.33126495,0.0111627,0.37376744,1
0.33146968,0.01136549,0.37315339,1
0.33168209,0.0115771,0.37253933,1
0.33190053,0.0117958,0.37192528,1
0.33212335,0.01201987,0.37131122,1
0.33234889,0.01224757,0.37069716,1
0.33257551,0.01247717,0.37008311,1
0.33280154,0.01270694,0.36946905,1
0.33302536,0.01293515,0.36885499,1
0.33324529,0.01316007,0.36824093,1
0.33345969,0.01337998,0.36762687,1
0.3336669,0.01359314,0.36701281,1
0.33386528,0.01379781,0.36639874,1
0.33405318,0.01399229,0.36578468,1
0.33422894,0.01417482,0.36517061,1
0.33439091,0.01434368,0.36455655,1
0.33453744,0.01449715,0.36394248,1
0.33466688,0.01463349,0.36332841,1
0.33477757,0.01475097,0.36271434,1
0.33486787,0.01484786,0.36210026,1
0.33493613,0.01492243,0.36148619,1
0.33498068,0.01497296,0.36087211,1
0.33499989,0.01499771,0.36025803,1
0.33499221,0.01499506,0.35964395,1
0.33495786,0.01496523,0.35902987,1
0.33489853,0.0149099,0.35841579,1
0.33481593,0.01483082,0.3578017,1
0.33471177,0.01472971,0.35718762,1
0.33458776,0.0146083,0.35657353,1
0.33444562,0.01446835,0.35595944,1
0.33428706,0.01431157,0.35534535,1
0.3341138,0.01413971,0.35473127,1
