q0,q1,qd0,qd1,tau0,tau1
0.523599,0.523599,-2,-2,15,8
0.523599,0.523599,-0.666667,-2,0,8
-0.523599,0.523599,-1.11022e-16,-2,15,8
-0.523599,0.523599,0.666667,-2,15,8
-1.11022e-16,0.523599,1.33333,-2,-15,8
-0.523599,0.523599,2,-2,0,8
0.523599,0.523599,-2,-1.33333,15,8
-1.11022e-16,-1.11022e-16,-1.33333,-1.33333,15,8
0.523599,-1.11022e-16,-1.33333,-1.33333,15,8
-1.11022e-16,0.523599,-1.33333,-1.33333,15,8
0.523599,0.523599,-1.33333,-1.33333,15,8
-1.11022e-16,-1.11022e-16,-0.666667,-1.33333,15,8
0.523599,-1.11022e-16,-0.666667,-1.33333,15,8
-1.11022e-16,0.523599,-0.666667,-1.33333,15,8
0.523599,0.523599,-0.666667,-1.33333,15,8
-0.523599,0.523599,-1.11022e-16,-1.33333,15,8
0.523599,0.523599,-1.11022e-16,-1.33333,0,8
-0.523599,-1.11022e-16,0.666667,-1.33333,0,8
-1.11022e-16,-1.11022e-16,0.666667,-1.33333,0,8
-0.523599,0.523599,0.666667,-1.33333,0,8
-1.11022e-16,0.523599,0.666667,-1.33333,0,8
-0.523599,-1.11022e-16,1.33333,-1.33333,0,8
-1.11022e-16,-1.11022e-16,1.33333,-1.33333,0,8
-0.523599,0.523599,1.33333,-1.33333,0,8
-1.11022e-16,0.523599,1.33333,-1.33333,0,8
-0.523599,-1.11022e-16,2,-1.33333,-15,8
-1.11022e-16,-1.11022e-16,2,-1.33333,-15,8
-0.523599,0.523599,2,-1.33333,-15,8
-1.11022e-16,0.523599,2,-1.33333,-15,8
0.523599,0.523599,-2,-0.666667,15,0
-1.11022e-16,-1.11022e-16,-1.33333,-0.666667,15,8
0.523599,-1.11022e-16,-1.33333,-0.666667,15,8
-1.11022e-16,0.523599,-1.33333,-0.666667,15,8
0.523599,0.523599,-1.33333,-0.666667,15,8
-0.523599,-1.11022e-16,1.33333,-0.666667,0,8
