q0,q1,q2,q3,qd0,qd1,qd2,qd3,tau0,tau1,tau2,tau3
1.5708,1.5708,0,0,-2,-2,-2,-2,15,8,6,5
0,1.5708,1.5708,0,-2,-2,-2,-2,15,8,6,5
1.5708,1.5708,1.5708,0,-2,-2,-2,-2,15,8,6,5
0,1.5708,0,1.5708,-2,-2,-2,-2,15,8,6,5
1.5708,1.5708,0,1.5708,-2,-2,-2,-2,15,8,6,5
1.5708,0,1.5708,1.5708,-2,-2,-2,-2,15,8,6,5
0,1.5708,1.5708,1.5708,-2,-2,-2,-2,15,8,6,5
1.5708,1.5708,1.5708,1.5708,-2,-2,-2,-2,15,8,6,5
0,1.5708,0,0,-1,-2,-2,-2,15,8,6,5
1.5708,1.5708,0,0,-1,-2,-2,-2,0,8,6,5
0,1.5708,1.5708,0,-1,-2,-2,-2,15,8,6,5
1.5708,1.5708,1.5708,0,-1,-2,-2,-2,0,8,6,5
0,1.5708,0,1.5708,-1,-2,-2,-2,15,8,6,5
1.5708,1.5708,0,1.5708,-1,-2,-2,-2,0,8,6,5
0,0,1.5708,1.5708,-1,-2,-2,-2,15,8,6,5
1.5708,0,1.5708,1.5708,-1,-2,-2,-2,0,8,6,5
0,1.5708,1.5708,1.5708,-1,-2,-2,-2,15,8,6,5
1.5708,1.5708,1.5708,1.5708,-1,-2,-2,-2,0,8,6,5
-1.5708,1.5708,0,0,0,-2,-2,-2,15,8,6,5
0,1.5708,0,0,0,-2,-2,-2,0,8,6,5
1.5708,1.5708,0,0,0,-2,-2,-2,-15,8,6,5
0,1.5708,1.5708,0,0,-2,-2,-2,0,8,6,5
0,1.5708,0,1.5708,0,-2,-2,-2,0,8,6,5
0,0,1.5708,1.5708,0,-2,-2,-2,0,8,6,5
0,1.5708,1.5708,1.5708,0,-2,-2,-2,0,8,6,5
-1.5708,1.5708,0,0,1,-2,-2,-2,0,8,6,5
0,1.5708,0,0,1,-2,-2,-2,0,8,6,5
-1.5708,1.5708,1.5708,0,1,-2,-2,-2,-15,8,6,5
0,1.5708,1.5708,0,1,-2,-2,-2,-15,8,6,5
-1.5708,1.5708,0,1.5708,1,-2,-2,-2,-15,8,6,5
0,1.5708,0,1.5708,1,-2,-2,-2,-15,8,6,5
-1.5708,0,1.5708,1.5708,1,-2,-2,-2,-15,8,6,5
0,0,1.5708,1.5708,1,-2,-2,-2,0,8,6,5
-1.5708,1.5708,1.5708,1.5708,1,-2,-2,-2,-15,8,6,5
0,1.5708,1.5708,1.5708,1,-2,-2,-2,-15,8,6,5
-1.5708,1.5708,0,0,2,-2,-2,-2,-15,8,6,5
0,1.5708,0,0,2,-2,-2,-2,-15,8,6,5
-1.5708,1.5708,1.5708,0,2,-2,-2,-2,-15,8,6,5
0,1.5708,1.5708,0,2,-2,-2,-2,-15,8,6,5
-1.5708,1.5708,0,1.5708,2,-2,-2,-2,-15,8,6,5
0,1.5708,0,1.5708,2,-2,-2,-2,-15,8,6,5
-1.5708,0,1.5708,1.5708,2,-2,-2,-2,-15,8,6,5
0,0,1.5708,1.5708,2,-2,-2,-2,-15,8,6,5
-1.5708,1.5708,1.5708,1.5708,2,-2,-2,-2,-15,8,6,5
0,1.5708,1.5708,1.5708,2,-2,-2,-2,-15,8,6,5
1.5708,0,0,0,-2,-1,-2,-2,15,8,6,5
1.5708,1.5708,0,0,-2,-1,-2,-2,15,8,6,5
1.5708,0,1.5708,0,-2,-1,-2,-2,15,8,6,5
0,1.5708,1.5708,0,-2,-1,-2,-2,15,0,6,5
1.5708,1.5708,1.5708,0,-2,-1,-2,-2,15,0,6,5
1.5708,0,0,1.5708,-2,-1,-2,-2,15,8,6,5
0,1.5708,0,1.5708,-2,-1,-2,-2,15,0,6,5
1.5708,1.5708,0,1.5708,-2,-1,-2,-2,15,0,6,5
1.5708,0,1.5708,1.5708,-2,-1,-2,-2,15,8,6,5
0,1.5708,1.5708,1.5708,-2,-1,-2,-2,15,0,6,5
1.5708,1.5708,1.5708,1.5708,-2,-1,-2,-2,15,0,6,5
0,0,0,0,-1,-1,-2,-2,15,8,6,5
1.5708,0,0,0,-1,-1,-2,-2,15,8,6,5
0,1.5708,0,0,-1,-1,-2,-2,15,8,6,5
1.5708,1.5708,0,0,-1,-1,-2,-2,0,8,6,5
0,0,1.5708,0,-1,-1,-2,-2,15,8,6,5
1.5708,0,1.5708,0,-1,-1,-2,-2,0,8,6,5
0,1.5708,1.5708,0,-1,-1,-2,-2,15,0,6,5
1.5708,1.5708,1.5708,0,-1,-1,-2,-2,0,0,6,5
0,0,0,1.5708,-1,-1,-2,-2,15,8,6,5
1.5708,0,0,1.5708,-1,-1,-2,-2,0,8,6,5
0,1.5708,0,1.5708,-1,-1,-2,-2,15,0,6,5
1.5708,1.5708,0,1.5708,-1,-1,-2,-2,0,0,6,5
0,0,1.5708,1.5708,-1,-1,-2,-2,15,8,6,5
1.5708,0,1.5708,1.5708,-1,-1,-2,-2,0,8,6,5
0,1.5708,1.5708,1.5708,-1,-1,-2,-2,15,0,6,5
1.5708,1.5708,1.5708,1.5708,-1,-1,-2,-2,0,0,6,5
-1.5708,0,0,0,0,-1,-2,-2,0,8,6,5
0,0,0,0,0,-1,-2,-2,0,8,6,5
1.5708,0,0,0,0,-1,-2,-2,0,8,6,5
-1.5708,1.5708,0,0,0,-1,-2,-2,15,8,6,5
0,1.5708,0,0,0,-1,-2,-2,0,8,6,5
1.5708,1.5708,0,0,0,-1,-2,-2,-15,8,6,5
0,0,1.5708,0,0,-1,-2,-2,0,8,6,5
0,1.5708,1.5708,0,0,-1,-2,-2,0,0,6,5
0,0,0,1.5708,0,-1,-2,-2,0,8,6,5
0,1.5708,0,1.5708,0,-1,-2,-2,0,0,6,5
0,0,1.5708,1.5708,0,-1,-2,-2,0,8,6,5
0,1.5708,1.5708,1.5708,0,-1,-2,-2,0,0,6,5
-1.5708,0,0,0,1,-1,-2,-2,-15,8,6,5
0,0,0,0,1,-1,-2,-2,0,8,6,5
-1.5708,1.5708,0,0,1,-1,-2,-2,0,8,6,5
0,1.5708,0,0,1,-1,-2,-2,0,8,6,5
-1.5708,0,1.5708,0,1,-1,-2,-2,-15,8,6,5
0,0,1.5708,0,1,-1,-2,-2,0,8,6,5
-1.5708,1.5708,1.5708,0,1,-1,-2,-2,-15,0,6,5
0,1.5708,1.5708,0,1,-1,-2,-2,-15,0,6,5
-1.5708,0,0,1.5708,1,-1,-2,-2,-15,8,6,5
0,0,0,1.5708,1,-1,-2,-2,0,8,6,5
-1.5708,1.5708,0,1.5708,1,-1,-2,-2,-15,0,6,5
0,1.5708,0,1.5708,1,-1,-2,-2,-15,0,6,5
-1.5708,0,1.5708,1.5708,1,-1,-2,-2,-15,8,6,5
0,0,1.5708,1.5708,1,-1,-2,-2,0,8,6,5
-1.5708,1.5708,1.5708,1.5708,1,-1,-2,-2,-15,0,6,5
0,1.5708,1.5708,1.5708,1,-1,-2,-2,-15,0,6,5
-1.5708,0,0,0,2,-1,-2,-2,-15,8,6,5
0,0,0,0,2,-1,-2,-2,-15,8,6,5
-1.5708,1.5708,0,0,2,-1,-2,-2,-15,8,6,5
0,1.5708,0,0,2,-1,-2,-2,-15,8,6,5
-1.5708,0,1.5708,0,2,-1,-2,-2,-15,8,6,5
0,0,1.5708,0,2,-1,-2,-2,-15,8,6,5
-1.5708,1.5708,1.5708,0,2,-1,-2,-2,-15,0,6,5
0,1.5708,1.5708,0,2,-1,-2,-2,-15,0,6,5
-1.5708,0,0,1.5708,2,-1,-2,-2,-15,8,6,5
0,0,0,1.5708,2,-1,-2,-2,-15,8,6,5
-1.5708,1.5708,0,1.5708,2,-1,-2,-2,-15,0,6,5
0,1.5708,0,1.5708,2,-1,-2,-2,-15,0,6,5
-1.5708,0,1.5708,1.5708,2,-1,-2,-2,-15,8,6,5
0,0,1.5708,1.5708,2,-1,-2,-2,-15,8,6,5
