x,y,z
0.40000000,0.00000000,0.50000000
0.39999576,0.00002532,0.50005931
0.39999155,0.00005064,0.50011860
0.39998736,0.00007596,0.50017785
0.39998320,0.00010128,0.50023709
0.39997907,0.00012660,0.50029629
0.39997496,0.00015191,0.50035547
0.39997087,0.00017723,0.50041462
0.39996681,0.00020254,0.50047375
0.39996278,0.00022786,0.50053285
0.39995877,0.00025317,0.50059193
0.39995478,0.00027848,0.50065097
0.39995083,0.00030379,0.50070999
0.39994689,0.00032909,0.50076899
0.39994299,0.00035440,0.50082796
0.39993910,0.00037971,0.50088690
0.39993525,0.00040501,0.50094582
0.39993141,0.00043031,0.50100470
0.39992761,0.00045562,0.50106357
0.39992383,0.00048092,0.50112241
0.39992007,0.00050622,0.50118122
0.39991634,0.00053151,0.50124000
0.39991264,0.00055681,0.50129876
0.39990896,0.00058211,0.50135749
0.39990530,0.00060740,0.50141620
0.39990167,0.00063270,0.50147487
0.39989807,0.00065799,0.50153353
0.39989449,0.00068328,0.50159215
0.39989093,0.00070857,0.50165075
0.39988741,0.00073386,0.50170933
0.39988390,0.00075915,0.50176788
0.39988042,0.00078443,0.50182640
0.39987697,0.00080972,0.50188489
0.39987354,0.00083500,0.50194336
0.39987014,0.00086029,0.50200181
0.39986676,0.00088557,0.50206022
0.39986341,0.00091085,0.50211861
0.39986008,0.00093613,0.50217698
0.39985678,0.00096141,0.50223531
0.39985350,0.00098668,0.50229363
0.39985025,0.00101196,0.50235191
0.39984703,0.00103723,0.50241017
0.39984382,0.00106251,0.50246840
0.39984065,0.00108778,0.50252661
0.39983750,0.00111305,0.50258479
0.39983437,0.00113832,0.50264295
0.39983127,0.00116359,0.50270108
0.39982819,0.00118886,0.50275918
0.39982514,0.00121413,0.50281725
0.39982212,0.00123939,0.50287530
0.39981911,0.00126466,0.50293333
0.39981614,0.00128992,0.50299132
0.39981319,0.00131518,0.50304930
0.39981026,0.00134044,0.50310724
0.39980736,0.00136570,0.50316516
0.39980449,0.00139096,0.50322305
0.39980164,0.00141622,0.50328092
0.39979881,0.00144147,0.50333876
0.39979601,0.00146673,0.50339658
0.39979323,0.00149198,0.50345436
0.39979048,0.00151723,0.50351213
0.39978776,0.00154248,0.50356986
0.39978506,0.00156774,0.50362757
0.39978238,0.00159298,0.50368526
0.39977973,0.00161823,0.50374291
0.39977710,0.00164348,0.50380055
0.39977450,0.00166872,0.50385815
0.39977193,0.00169397,0.50391573
0.39976937,0.00171921,0.50397329
0.39976685,0.00174445,0.50403081
0.39976435,0.00176969,0.50408831
0.39976187,0.00179493,0.50414579
0.39975942,0.00182017,0.50420324
