x,y,z
0.50000000,0.00000000,0.50000000
0.50010490,-0.00004491,0.50001531
0.50020971,-0.00008978,0.50003070
0.50031445,-0.00013461,0.50004615
0.50041912,-0.00017941,0.50006168
0.50052370,-0.00022417,0.50007728
0.50062821,-0.00026889,0.50009295
0.50073264,-0.00031358,0.50010869
0.50083699,-0.00035823,0.50012451
0.50094126,-0.00040285,0.50014039
0.50104546,-0.00044742,0.50015635
0.50114958,-0.00049196,0.50017237
0.50125362,-0.00053647,0.50018847
0.50135758,-0.00058093,0.50020464
0.50146146,-0.00062536,0.50022088
0.50156527,-0.00066976,0.50023719
0.50166900,-0.00071411,0.50025357
0.50177265,-0.00075843,0.50027003
0.50187623,-0.00080272,0.50028655
0.50197973,-0.00084697,0.50030314
0.50208315,-0.00089118,0.50031981
0.50218649,-0.00093535,0.50033654
0.50228975,-0.00097949,0.50035335
0.50239294,-0.00102359,0.50037023
0.50249605,-0.00106766,0.50038717
0.50259908,-0.00111169,0.50040419
0.50270204,-0.00115568,0.50042128
0.50280491,-0.00119964,0.50043844
0.50290771,-0.00124356,0.50045567
0.50301044,-0.00128744,0.50047297
0.50311308,-0.00133129,0.50049034
0.50321565,-0.00137510,0.50050778
0.50331814,-0.00141888,0.50052529
0.50342055,-0.00146262,0.50054287
0.50352289,-0.00150632,0.50056052
0.50362515,-0.00154999,0.50057824
0.50372733,-0.00159362,0.50059603
0.50382944,-0.00163721,0.50061389
0.50393146,-0.00168077,0.50063182
0.50403341,-0.00172430,0.50064982
0.50413529,-0.00176778,0.50066789
0.50423708,-0.00181124,0.50068603
0.50433880,-0.00185465,0.50070424
0.50444044,-0.00189803,0.50072252
0.50454200,-0.00194137,0.50074086
0.50464349,-0.00198468,0.50075928
0.50474490,-0.00202795,0.50077777
0.50484623,-0.00207119,0.50079633
0.50494749,-0.00211439,0.50081495
0.50504867,-0.00215755,0.50083365
0.50514977,-0.00220068,0.50085241
0.50525080,-0.00224378,0.50087125
0.50535174,-0.00228683,0.50089015
0.50545261,-0.00232986,0.50090913
0.50555341,-0.00237284,0.50092817
0.50565413,-0.00241579,0.50094728
0.50575477,-0.00245871,0.50096646
0.50585533,-0.00250159,0.50098571
0.50595582,-0.00254443,0.50100503
0.50605622,-0.00258724,0.50102441
0.50615656,-0.00263001,0.50104387
0.50625681,-0.00267275,0.50106339
0.50635699,-0.00271545,0.50108299
0.50645709,-0.00275812,0.50110265
0.50655712,-0.00280075,0.50112238
0.50665707,-0.00284335,0.50114218
0.50675694,-0.00288591,0.50116205
0.50685674,-0.00292843,0.50118198
0.50695646,-0.00297092,0.50120199
0.50705610,-0.00301338,0.50122206
0.50715566,-0.00305579,0.50124221
0.50725515,-0.00309818,0.50126242
0.50735456,-0.00314053,0.50128269
0.50745390,-0.00318284,0.50130304
0.50755316,-0.00322512,0.50132346
0.50765234,-0.00326736,0.50134394
0.50775145,-0.00330957,0.50136449
0.50785048,-0.00335174,0.50138511
0.50794943,-0.00339388,0.50140580
0.50804831,-0.00343599,0.50142655
0.50814711,-0.00347805,0.50144738
0.50824583,-0.00352009,0.50146827
0.50834448,-0.00356209,0.50148923
0.50844305,-0.00360405,0.50151025
0.50854154,-0.00364598,0.50153135
0.50863996,-0.00368787,0.50155251
0.50873830,-0.00372973,0.50157374
0.50883656,-0.00377155,0.50159504
0.50893475,-0.00381334,0.50161640
0.50903286,-0.00385510,0.50163784
0.50913090,-0.00389682,0.50165934
0.50922886,-0.00393850,0.50168091
0.50932674,-0.00398015,0.50170254
0.50942455,-0.00402176,0.50172424
0.50952228,-0.00406335,0.50174601
0.50961994,-0.00410489,0.50176785
0.50971752,-0.00414640,0.50178975
0.50981502,-0.00418788,0.50181172
0.50991244,-0.00422932,0.50183376
0.51000979,-0.00427073,0.50185587
0.51010707,-0.00431210,0.50187804
0.51020427,-0.00435344,0.50190028
0.51030139,-0.00439474,0.50192259
0.51039843,-0.00443601,0.50194496
0.51049540,-0.00447725,0.50196740
0.51059230,-0.00451845,0.50198991
0.51068912,-0.00455961,0.50201248
0.51078586,-0.00460075,0.50203512
0.51088252,-0.00464184,0.50205783
0.51097911,-0.00468291,0.50208060
0.51107563,-0.00472394,0.50210344
0.51117206,-0.00476493,0.50212635
0.51126843,-0.00480589,0.50214932
0.51136471,-0.00484682,0.50217236
0.51146092,-0.00488771,0.50219546
0.51155706,-0.00492857,0.50221863
0.51165311,-0.00496939,0.50224187
0.51174910,-0.00501018,0.50226518
0.51184500,-0.00505094,0.50228855
0.51194083,-0.00509166,0.50231198
0.51203659,-0.00513234,0.50233549
0.51213227,-0.00517300,0.50235906
0.51222787,-0.00521362,0.50238269
0.51232340,-0.00525420,0.50240639
0.51241885,-0.00529475,0.50243016
0.51251423,-0.00533527,0.50245399
0.51260953,-0.00537576,0.50247789
0.51270476,-0.00541620,0.50250185
0.51279991,-0.00545662,0.50252588
0.51289498,-0.00549700,0.50254998
0.51298998,-0.00553735,0.50257414
0.51308490,-0.00557767,0.50259836
0.51317975,-0.00561795,0.50262265
0.51327452,-0.00565819,0.50264701
0.51336922,-0.00569841,0.50267144
0.51346384,-0.00573859,0.50269592
0.51355838,-0.00577873,0.50272048
0.51365285,-0.00581884,0.50274510
0.51374725,-0.00585892,0.50276978
0.51384157,-0.00589897,0.50279453
0.51393581,-0.00593898,0.50281934
0.51402998,-0.00597896,0.50284422
0.51412407,-0.00601890,0.50286917
0.51421809,-0.00605881,0.50289418
0.51431203,-0.00609869,0.50291925
0.51440590,-0.00613853,0.50294439
0.51449969,-0.00617834,0.50296959
0.51459340,-0.00621812,0.50299486
0.51468705,-0.00625786,0.50302020
0.51478061,-0.00629757,0.50304560
0.51487410,-0.00633725,0.50307106
0.51496752,-0.00637689,0.50309659
0.51506086,-0.00641650,0.50312218
0.51515412,-0.00645608,0.50314784
0.51524731,-0.00649563,0.50317356
0.51534043,-0.00653514,0.50319934
0.51543346,-0.00657461,0.50322519
0.51552643,-0.00661406,0.50325111
0.51561932,-0.00665347,0.50327709
0.51571213,-0.00669285,0.50330313
0.51580487,-0.00673219,0.50332924
0.51589753,-0.00677150,0.50335541
0.51599012,-0.00681078,0.50338164
0.51608264,-0.00685003,0.50340794
0.51617508,-0.00688924,0.50343431
0.51626744,-0.00692842,0.50346074
0.51635973,-0.00696757,0.50348723
0.51645194,-0.00700668,0.50351378
0.51654408,-0.00704576,0.50354040
0.51663615,-0.00708481,0.50356709
0.51672814,-0.00712383,0.50359383
0.51682005,-0.00716281,0.50362064
0.51691189,-0.00720176,0.50364752
0.51700365,-0.00724068,0.50367446
0.51709534,-0.00727956,0.50370146
0.51718696,-0.00731841,0.50372852
0.51727850,-0.00735723,0.50375565
0.51736996,-0.00739602,0.50378284
0.51746136,-0.00743477,0.50381010
0.51755267,-0.00747349,0.50383742
0.51764391,-0.00751218,0.50386480
0.51773508,-0.00755083,0.50389224
0.51782617,-0.00758946,0.50391975
0.51791719,-0.00762805,0.50394732
0.51800813,-0.00766661,0.50397496
0.51809900,-0.00770513,0.50400265
0.51818979,-0.00774362,0.50403042
0.51828051,-0.00778208,0.50405824
0.51837116,-0.00782051,0.50408613
0.51846173,-0.00785891,0.50411407
0.51855222,-0.00789727,0.50414209
0.51864264,-0.00793560,0.50417016
0.51873299,-0.00797390,0.50419830
0.51882326,-0.00801217,0.50422650
0.51891346,-0.00805040,0.50425476
0.51900358,-0.00808860,0.50428309
0.51909363,-0.00812677,0.50431148
0.51918360,-0.00816491,0.50433993
0.51927350,-0.00820302,0.50436844
0.51936333,-0.00824109,0.50439701
0.51945308,-0.00827913,0.50442565
0.51954275,-0.00831714,0.50445435
0.51963236,-0.00835512,0.50448311
0.51972188,-0.00839306,0.50451194
0.51981134,-0.00843097,0.50454082
0.51990072,-0.00846885,0.50456977
0.51999002,-0.00850670,0.50459878
0.52007925,-0.00854452,0.50462786
0.52016841,-0.00858230,0.50465699
0.52025749,-0.00862006,0.50468619
0.52034650,-0.00865778,0.50471545
0.52043543,-0.00869547,0.50474477
0.52052429,-0.00873312,0.50477415
0.52061308,-0.00877075,0.50480359
0.52070179,-0.00880834,0.50483310
0.52079043,-0.00884591,0.50486267
0.52087899,-0.00888344,0.50489230
0.52096748,-0.00892093,0.50492199
0.52105590,-0.00895840,0.50495174
0.52114424,-0.00899584,0.50498155
0.52123251,-0.00903324,0.50501143
0.52132070,-0.00907061,0.50504136
0.52140882,-0.00910795,0.50507136
0.52149686,-0.00914526,0.50510142
0.52158484,-0.00918254,0.50513154
0.52167273,-0.00921978,0.50516172
0.52176056,-0.00925700,0.50519196
0.52184831,-0.00929418,0.50522227
0.52193598,-0.00933133,0.50525263
0.52202358,-0.00936845,0.50528306
0.52211111,-0.00940554,0.50531354
0.52219857,-0.00944259,0.50534409
0.52228595,-0.00947962,0.50537470
0.52237326,-0.00951661,0.50540537
0.52246049,-0.00955358,0.50543610
0.52254765,-0.00959051,0.50546689
0.52263473,-0.00962741,0.50549774
0.52272175,-0.00966428,0.50552865
0.52280868,-0.00970111,0.50555962
0.52289555,-0.00973792,0.50559066
0.52298234,-0.00977470,0.50562175
0.52306906,-0.00981144,0.50565290
0.52315570,-0.00984815,0.50568412
0.52324227,-0.00988483,0.50571539
0.52332877,-0.00992149,0.50574673
0.52341519,-0.00995811,0.50577812
0.52350154,-0.00999469,0.50580958
0.52358782,-0.01003125,0.50584109
0.52367402,-0.01006778,0.50587267
0.52376015,-0.01010427,0.50590430
0.52384620,-0.01014074,0.50593600
0.52393218,-0.01017717,0.50596776
0.52401809,-0.01021358,0.50599957
0.52410393,-0.01024995,0.50603145
0.52418969,-0.01028629,0.50606338
0.52427538,-0.01032260,0.50609538
0.52436099,-0.01035888,0.50612743
0.52444653,-0.01039513,0.50615955
0.52453200,-0.01043135,0.50619172
0.52461740,-0.01046754,0.50622396
0.52470272,-0.01050369,0.50625625
0.52478797,-0.01053982,0.50628860
0.52487314,-0.01057591,0.50632101
