x,y,z
0.5,0.0,0.5
0.58,-0.04,0.58
0.54,-0.08,0.66
0.46,-0.16,0.62
0.42,-0.2,0.54
0.34,-0.28,0.5
0.3,-0.32,0.42
0.22,-0.34,0.38
0.18,-0.32,0.36
0.1,-0.34,0.44
0.08,-0.32,0.52
0.04,-0.34,0.6
-0.04,-0.32,0.56
-0.08,-0.34,0.48
-0.12,-0.32,0.44
-0.2,-0.34,0.36
-0.28,-0.32,0.38
-0.36,-0.24,0.46
-0.44,-0.16,0.54
-0.52,-0.08,0.6
-0.52,-0.08,0.6
-0.44,-0.16,0.54
-0.36,-0.24,0.46
-0.28,-0.32,0.38
-0.2,-0.34,0.36
-0.12,-0.32,0.44
-0.08,-0.34,0.48
-0.04,-0.32,0.56
0.04,-0.34,0.6
0.08,-0.32,0.52
0.1,-0.34,0.44
0.18,-0.32,0.36
0.22,-0.34,0.38
0.3,-0.32,0.42
0.34,-0.28,0.5
0.42,-0.2,0.54
0.46,-0.16,0.62
0.54,-0.08,0.66
0.58,-0.04,0.58
0.5,0.0,0.5
