timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
6.9915e-05,0.676282,-4.09532,-0.358282,-5.27292,0.154901,0.08447,-0.14446
0.00100953,0.684339,-4.06462,-0.334496,-5.24411,0.172428,0.0804513,-0.142198
0.00199746,0.687527,-4.04042,-0.314315,-5.19184,0.187834,0.0784806,-0.1384
0.00304944,0.686031,-4.00584,-0.310773,-5.16081,0.193786,0.0759718,-0.134854
0.00404252,0.707016,-3.97747,-0.277194,-5.1111,0.201817,0.0757633,-0.136591
0.00495464,0.715757,-3.92826,-0.25826,-5.0933,0.215765,0.0650406,-0.137206
0.00612464,0.717484,-3.86119,-0.223285,-5.03513,0.226463,0.0561443,-0.131521
0.00701576,0.725535,-3.85694,-0.185729,-4.99905,0.23284,0.0524558,-0.129041
0.00802713,0.761752,-3.83899,-0.172415,-4.97211,0.23917,0.0447307,-0.127146
0.00901362,0.757068,-3.7723,-0.148015,-4.90167,0.25399,0.0418225,-0.124018
0.0100141,0.781122,-3.69083,-0.125549,-4.82949,0.259285,0.0273184,-0.115871
0.0109958,0.781735,-3.52095,-0.0950592,-4.66682,0.272273,0.0254067,-0.113094
0.012012,0.775985,-3.45386,-0.066625,-4.63072,0.286696,0.00172817,-0.110267
0.0130128,0.794138,-3.34566,-0.0465174,-4.55599,0.294064,-0.0280569,-0.108391
0.0140507,0.793867,-3.2183,-0.0267566,-4.42612,0.307035,-0.0474099,-0.111018
0.0150214,0.816262,-3.08224,-0.00888862,-4.35247,0.318414,-0.0517146,-0.107668
0.0160228,0.815455,-2.99229,0.0178751,-4.21927,0.327318,-0.0332766,-0.102807
0.017008,0.83078,-2.87222,0.034021,-4.14707,0.346757,-0.0337565,-0.0992157
0.0180131,0.834235,-2.74961,0.01985,-4.05062,0.361111,-0.0164525,-0.0975047
0.019007,0.832277,-2.67055,0.0540253,-3.96982,0.375896,-0.00999189,-0.0920887
0.0199843,0.838163,-2.60438,0.0821906,-3.86285,0.386739,-0.00253931,-0.0846802
0.0210124,0.850912,-2.56408,0.122153,-3.81846,0.398101,-0.00663061,-0.0824013
0.022023,0.830178,-2.51416,0.1591,-3.70841,0.412213,-0.00360271,-0.0853922
0.0230385,0.819141,-2.45352,0.18905,-3.60357,0.419484,-0.00224176,-0.0811388
0.0240074,0.831635,-2.42857,0.207398,-3.52132,0.432884,-0.0119633,-0.0756724
0.0250153,0.823253,-2.39646,0.2634,-3.4094,0.441012,-0.0200435,-0.0769566
0.0260123,0.840543,-2.34528,0.283436,-3.41746,0.451302,-0.0280653,-0.0749713
0.0269994,0.870954,-2.32061,0.326043,-3.30159,0.455775,-0.0297578,-0.0727894
