timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
8.0821e-05,0.151126,-5.21574,-0.485998,-6.01967,-0.833187,0.812021,-0.194586
0.000983244,0.143218,-5.15184,-0.444283,-5.95564,-0.808323,0.802284,-0.188515
0.00201866,0.169673,-5.12418,-0.412352,-5.92572,-0.799093,0.791803,-0.182758
0.00295063,0.183712,-5.105,-0.396733,-5.88758,-0.782344,0.789373,-0.177565
0.00397096,0.190523,-5.07328,-0.364449,-5.85487,-0.769895,0.783715,-0.174688
0.00502432,0.195166,-5.03807,-0.32614,-5.82613,-0.761146,0.780923,-0.17567
0.0059917,0.202787,-5.03188,-0.294797,-5.80813,-0.762097,0.785454,-0.174125
0.00698214,0.211495,-4.99935,-0.28297,-5.76083,-0.742244,0.768819,-0.175336
0.0080061,0.230346,-4.96107,-0.245005,-5.71832,-0.726355,0.744244,-0.170395
0.00901515,0.239421,-4.8141,-0.216872,-5.60707,-0.710792,0.73396,-0.166737
0.00999471,0.249996,-4.80488,-0.178243,-5.57005,-0.706783,0.716527,-0.163902
0.0110098,0.25989,-4.76299,-0.166107,-5.53175,-0.700235,0.681733,-0.156445
0.0120452,0.272884,-4.62461,-0.141233,-5.42741,-0.688329,0.644695,-0.159281
0.0130064,0.302653,-4.49427,-0.121787,-5.33741,-0.675205,0.60762,-0.154783
0.0140965,0.306837,-4.34139,-0.100277,-5.1492,-0.659755,0.620032,-0.152442
0.0150552,0.331967,-4.21392,-0.0802341,-5.08074,-0.645832,0.578791,-0.150169
0.0160497,0.323528,-4.03808,-0.0723037,-5.00088,-0.637898,0.540993,-0.150243
0.016954,0.348497,-3.89447,-0.0666172,-4.87887,-0.618097,0.527417,-0.141601
0.0179289,0.34711,-3.77658,-0.0526996,-4.76884,-0.602651,0.516064,-0.142764
0.0189636,0.349661,-3.72057,-0.0159274,-4.69625,-0.596892,0.483414,-0.139545
0.0199641,0.344612,-3.63184,-0.00217232,-4.60376,-0.583978,0.46273,-0.137137
0.0209732,0.35664,-3.56054,0.00682501,-4.47056,-0.568609,0.43763,-0.132571
0.0220043,0.34227,-3.51188,0.0587099,-4.37439,-0.557561,0.397686,-0.13523
0.0229677,0.350091,-3.49607,0.0977378,-4.27005,-0.545166,0.359324,-0.128195
0.0239962,0.369789,-3.42707,0.126434,-4.28943,-0.538407,0.330954,-0.124057
0.024981,0.364216,-3.43399,0.168377,-4.14649,-0.533175,0.293766,-0.12172
0.0259595,0.373091,-3.45029,0.221757,-4.01614,-0.536856,0.260075,-0.12008
0.0269479,0.374934,-3.41979,0.259982,-3.91361,-0.529915,0.219618,-0.115535
0.0279584,0.346205,-3.38709,0.300309,-3.82238,-0.522452,0.205402,-0.110056
0.0289682,0.37385,-3.33911,0.310881,-3.8186,-0.505753,0.1842,-0.10848
0.030008,0.390961,-3.302,0.356912,-3.71537,-0.495716,0.183402,-0.107595
0.0309386,0.404901,-3.2588,0.402514,-3.59699,-0.482884,0.191563,-0.106964
0.0319246,0.419961,-3.198,0.403893,-3.48557,-0.466972,0.175036,-0.101116
0.0329299,0.464712,-3.14,0.420669,-3.36183,-0.448003,0.158841,-0.0971013
0.0340143,0.473771,-3.15122,0.434617,-3.28878,-0.438096,0.146576,-0.0951308
0.0350191,0.497166,-3.09498,0.445471,-3.20521,-0.416088,0.131644,-0.0960139
0.0359969,0.535446,-3.01777,0.461709,-3.1006,-0.40103,0.118339,-0.092724
0.037011,0.549357,-2.99192,0.490025,-3.00396,-0.381702,0.115121,-0.0884699
0.0380386,0.55933,-2.88407,0.534572,-2.85453,-0.353893,0.0407242,-0.0839374
0.039012,0.547514,-2.89836,0.553987,-2.73587,-0.350444,0.043631,-0.0809677
0.0399866,0.564732,-2.87032,0.589567,-2.6822,-0.339021,0.040284,-0.0795964
0.0409899,0.567525,-2.8082,0.638731,-2.60998,-0.329199,0.0289384,-0.0718899
0.0420415,0.594195,-2.77988,0.677796,-2.53226,-0.330009,0.0187293,-0.0751506
0.0429983,0.609578,-2.71107,0.737692,-2.43844,-0.320753,0.013293,-0.0698071
0.0439964,0.598768,-2.69589,0.742925,-2.35339,-0.310997,0.0135529,-0.067302
0.04499,0.614676,-2.65569,0.78576,-2.29691,-0.309612,0.0104135,-0.0621869
0.0460032,0.633308,-2.58923,0.841259,-2.18057,-0.301744,0.00708714,-0.0635827
0.0469891,0.64532,-2.54642,0.841854,-2.11366,-0.287974,0.00851808,-0.057517
0.047972,0.647188,-2.47542,0.856867,-1.97872,-0.273677,0.00892463,-0.0554736
0.0489521,0.652592,-2.44672,0.861576,-1.9617,-0.262052,0.00796857,-0.0531912
0.0500146,0.649023,-2.38937,0.887477,-1.85091,-0.250009,0.0172389,-0.0502569
0.0510188,0.634318,-2.31317,0.891434,-1.73735,-0.23392,0.0312803,-0.0511844
0.0520264,0.662573,-2.25642,0.910176,-1.64217,-0.219615,0.0445487,-0.047964
0.0529949,0.681089,-2.19441,0.926219,-1.55142,-0.204999,0.0538349,-0.0441703
0.0540317,0.690993,-2.16123,0.951488,-1.55771,-0.195527,0.0496021,-0.0406839
0.0550233,0.679317,-2.09992,0.954643,-1.42911,-0.182975,0.065855,-0.0410082
0.0560287,0.6914,-2.01199,0.968693,-1.29496,-0.172523,0.081139,-0.0368278
0.0570291,0.703467,-1.94853,0.976327,-1.2282,-0.167797,0.0897225,-0.0329597
0.0579925,0.698037,-1.90427,1.00583,-1.14199,-0.158323,0.106562,-0.0307898
0.0589316,0.71082,-1.86549,1.03939,-1.094,-0.147182,0.114076,-0.0266884
0.0599248,0.723252,-1.78435,1.07114,-1.03102,-0.136599,0.134202,-0.0201763
0.0609901,0.732561,-1.71005,1.08056,-0.944649,-0.131881,0.150073,-0.0177948
0.0620528,0.715466,-1.61733,1.10941,-0.874991,-0.125395,0.165199,-0.0171246
0.0629535,0.732104,-1.54025,1.13399,-0.80887,-0.111038,0.169516,-0.017618
0.0640176,0.746403,-1.50924,1.1646,-0.718564,-0.0975755,0.178201,-0.0155973
0.0649506,0.759121,-1.4201,1.1777,-0.64598,-0.0840325,0.18563,-0.0106935
0.0660349,0.763534,-1.31583,1.19516,-0.577177,-0.0660398,0.187896,-0.0116837
0.0670311,0.782614,-1.24805,1.20019,-0.502225,-0.0578711,0.198719,-0.00509179
